time,acc,atrunc
59.139,-0.005606863,-0.005606863
59.143,-0.003206863,-0.003206863
59.147,-0.022906863,-0.02
59.151,-0.016306863,-0.016306863
59.155,-0.003206863,-0.003206863
59.16,-0.014506863,-0.014506863
59.164,-0.006206863,-0.006206863
59.168,-0.003806863,-0.003806863
59.172,0.009393137,0.009393137
59.176,-0.002006863,-0.002006863
59.181,0.009993137,0.009993137
59.185,0.015993137,0.015993137
59.189,0.005193137,0.005193137
59.193,-0.020506863,-0.02
59.197,-0.024106863,-0.02
59.202,0.012393137,0.012393137
59.206,0.006393137,0.006393137
59.21,-0.000806863,-0.000806863
59.214,-0.005606863,-0.005606863
59.218,-0.051106863,-0.02
59.223,-0.000206863,-0.000206863
59.227,-0.011006863,-0.011006863
59.231,0.035093137,0.02
59.235,0.029693137,0.02
59.239,0.022593137,0.02
59.244,-0.000206863,-0.000206863
59.248,0.029693137,0.02
59.252,-0.003806863,-0.003806863
59.256,-0.017506863,-0.017506863
59.261,-0.021706863,-0.02
59.265,0.006993137,0.006993137
59.269,0.002193137,0.002193137
59.273,-0.005006863,-0.005006863
59.277,0.009393137,0.009393137
59.282,0.012393137,0.012393137
59.286,-0.014506863,-0.014506863
59.29,-0.003206863,-0.003206863
59.294,-0.010406863,-0.010406863
59.298,0.008793137,0.008793137
59.303,-0.004406863,-0.004406863
59.307,-0.005606863,-0.005606863
59.311,-0.015706863,-0.015706863
59.315,0.006993137,0.006993137
59.319,0.000993137,0.000993137
59.324,0.003993137,0.003993137
59.328,-0.003206863,-0.003206863
59.332,-0.016906863,-0.016906863
59.336,-0.016306863,-0.016306863
59.34,-0.013306863,-0.013306863
59.345,-0.002006863,-0.002006863
59.349,0.005793137,0.005793137
59.353,0.005793137,0.005793137
59.357,0.010593137,0.010593137
59.361,0.008193137,0.008193137
59.366,-0.030106863,-0.02
59.37,-0.026506863,-0.02
59.374,-0.005606863,-0.005606863
59.378,-0.002606863,-0.002606863
59.382,-0.034306863,-0.02
59.387,0.003393137,0.003393137
59.391,0.023793137,0.02
59.395,0.047393137,0.02
59.399,0.038393137,0.02
59.403,0.013593137,0.013593137
59.408,-0.036706863,-0.02
59.412,-0.034306863,-0.02
59.416,-0.027706863,-0.02
59.42,-0.005006863,-0.005006863
59.424,0.029693137,0.02
59.429,0.003393137,0.003393137
59.433,-0.008606863,-0.008606863
59.437,0.010593137,0.010593137
59.441,-0.016306863,-0.016306863
59.445,-0.011006863,-0.011006863
59.45,0.002793137,0.002793137
59.454,-0.004406863,-0.004406863
59.458,-0.000206863,-0.000206863
59.462,-0.014506863,-0.014506863
59.466,-0.009806863,-0.009806863
59.471,-0.000806863,-0.000806863
59.475,-0.003806863,-0.003806863
59.479,0.008793137,0.008793137
59.483,0.014793137,0.014793137
59.487,0.010593137,0.010593137
59.492,0.011793137,0.011793137
59.496,0.018393137,0.018393137
59.5,-0.020506863,-0.02
59.504,-0.011006863,-0.011006863
59.508,-0.011006863,-0.011006863
59.513,0.003993137,0.003993137
59.517,0.005193137,0.005193137
59.521,-0.013906863,-0.013906863
59.525,-0.007406863,-0.007406863
59.529,-0.017506863,-0.017506863
59.534,-0.001406863,-0.001406863
59.538,0.027993137,0.02
59.542,0.017793137,0.017793137
59.546,0.003393137,0.003393137
59.55,0.005193137,0.005193137
59.555,0.036293137,0.02
59.559,-0.013306863,-0.013306863
59.563,-0.036706863,-0.02
59.567,-0.013306863,-0.013306863
59.571,-0.003206863,-0.003206863
59.576,-0.008606863,-0.008606863
59.58,0.008193137,0.008193137
59.584,0.026793137,0.02
59.588,0.003393137,0.003393137
59.592,0.006393137,0.006393137
59.597,-0.025906863,-0.02
59.601,-0.008606863,-0.008606863
59.605,0.005193137,0.005193137
59.609,0.033893137,0.02
59.613,-0.005606863,-0.005606863
59.618,0.008793137,0.008793137
59.622,-0.010406863,-0.010406863
